證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"5258","虹堡","16418000","922729600","53.70","58.90","53.40","58.70","4.5000","9540"
"5269","祥碩","1043000","1282280000","1220.00","1265.00","1195.00","1205.00","5.0000","936"
"5283","禾聯碩","117000","12090000","101.50","105.00","100.50","104.00","3.5000","64"
"5284","jpp-KY","40000","1782800","44.50","45.15","44.15","44.55","0.1000","33"
"5285","界霖","990000","93494400","92.10","95.20","92.10","94.50","3.2000","724"
"5288","豐祥-KY","264000","46312500","179.00","179.00","173.00","174.00","1.0000","216"
"5306","桂盟","149000","25886000","172.50","176.00","172.50","173.50","1.0000","122"
"5388","中磊","8072000","669774500","85.10","85.10","81.20","83.80","0.2000","5369"
"5434","崇越","1012000","146884500","146.00","146.50","143.00","145.00","-0.5000","651"
"5469","瀚宇博","394000","13277650","33.80","33.80","33.55","33.65","0.6500","289"
"5471","松翰","380000","26771300","69.50","70.90","69.50","70.90","2.2000","318"
"5484","慧友","24000","323300","13.65","13.65","13.30","13.30","0.1000","18"
"5515","建國","219000","3081800","14.05","14.10","14.00","14.10","0.1500","86"
"5519","隆大","203000","4510950","22.25","22.40","22.10","22.10","-0.1000","136"
"5521","工信","595000","4266980","7.19","7.23","7.14","7.18","0.0500","208"
"5522","遠雄","499000","31601800","63.20","64.20","62.50","62.60","-0.9000","347"
"5525","順天","87000","2054450","22.90","23.85","22.90","23.60","0.7500","58"
"5531","鄉林","1165000","11717740","9.81","10.20","9.81","10.10","0.3500","456"
"5533","皇鼎","812000","14570800","18.15","18.30","17.70","17.95","-0.1500","249"
"5534","長虹","184000","13547100","73.40","74.10","73.20","73.70","0.4000","154"
"5538","東明-KY","17000","828650","48.95","48.95","48.45","48.45","0.8000","14"
"5546","永固-KY","20000","1102900","56.00","56.00","54.60","55.00","0.0000","15"
"5607","遠雄港","566000","27502500","47.40","49.20","47.40","48.90","1.9500","376"
"5608","四維航","11681000","401500950","33.20","35.00","33.20","34.65","2.3500","6230"
"5706","鳳凰","2461000","158413100","63.90","65.50","63.00","65.20","2.6000","1595"
"5871","中租-KY","3986000","838294000","206.00","214.00","204.50","212.50","7.5000","2506"
"5871A","中租-KY甲特","148000","14724500","99.50","99.50","99.40","99.50","0.0000","75"
"5876","上海商銀","5356000","291899700","54.10","54.80","53.90","54.30","0.4000","1912"
"5880","合庫金","9235000","252582100","27.40","27.50","27.15","27.15","-0.2000","2965"
"5906","台南-KY","14000","439850","31.30","31.75","31.20","31.50","0.2000","14"
"5907","大洋-KY","61000","970050","15.90","15.95","15.85","15.90","0.1000","35"
"6005","群益證","2729000","39417650","14.40","14.50","14.30","14.50","0.2000","1188"
"6024","群益期","121000","4509800","36.95","37.40","36.95","37.20","0.4500","101"
"6108","競國","64000","1182150","18.45","18.55","18.40","18.50","0.2000","47"
"6112","聚碩","450000","16760500","37.60","37.60","36.65","37.10","0.9500","262"
"6115","鎰勝","135000","5818300","43.10","43.15","43.05","43.10","0.1500","105"
"6116","彩晶","11419000","121705050","10.50","10.80","10.40","10.65","0.3500","3670"
"6117","迎廣","25000","381000","15.25","15.40","15.10","15.25","0.1000","14"
"6120","達運","2214000","22558650","10.15","10.30","10.10","10.25","0.2500","706"
"6128","上福","407000","12510450","30.85","31.50","30.60","30.75","0.0000","91"
"6133","金橋","22310000","265821150","11.75","12.15","11.45","11.75","0.2000","4565"
"6136","富爾特","70000","1312900","18.80","18.80","18.70","18.80","0.2000","49"
"6139","亞翔","449000","13910550","31.10","31.25","30.70","30.70","0.0500","250"
"6141","柏承","32000","749000","23.50","23.50","23.30","23.35","0.1000","29"
"6142","友勁","170000","1495930","8.76","8.87","8.75","8.85","0.1500","67"
"6152","百一","203000","1924020","9.31","9.60","9.31","9.50","0.0500","92"
"6153","嘉聯益","1211000","28007050","22.85","23.25","22.85","23.15","0.4500","538"
"6155","鈞寶","95000","2158700","22.50","22.80","22.50","22.80","0.6000","66"
"6164","華興","1187000","14827000","12.60","12.60","12.40","12.60","0.2000","531"
"6165","浪凡","81000","2057500","25.20","25.50","25.20","25.35","0.5000","64"
"6166","凌華","103000","5832300","56.50","57.00","56.40","56.70","0.2000","78"
"6168","宏齊","264000","5604300","21.00","21.35","21.00","21.30","0.6000","157"
"6176","瑞儀","2870000","252378000","87.60","88.50","87.10","87.10","0.4000","1910"
"6177","達麗","274000","8281050","30.25","30.35","30.00","30.10","0.1500","165"
"6183","關貿","93000","5572900","59.50","60.40","58.90","59.90","1.1000","87"
"6184","大豐電","82000","4063200","49.20","49.70","49.20","49.60","0.6000","54"
"6189","豐藝","246000","10392650","42.10","42.35","42.10","42.30","0.3000","174"
"6191","精成科","1193000","36608450","30.50","30.80","30.50","30.65","0.4500","616"
"6192","巨路","104000","7314000","69.40","70.90","69.40","70.50","0.8000","69"
"6196","帆宣","388000","45138000","115.00","117.50","114.50","116.50","2.5000","325"
"6197","佳必琪","300000","11269800","37.95","37.95","37.35","37.65","0.2500","189"
"6201","亞弘電","26000","1096700","43.00","43.00","41.95","42.55","0.6000","23"
"6202","盛群","589000","54462900","92.00","93.10","91.70","92.30","1.5000","492"
"6205","詮欣","970000","69988300","71.90","72.80","71.30","72.20","2.0000","407"
"6206","飛捷","816000","67279100","82.50","83.50","81.30","82.60","1.5000","568"
"6209","今國光","328000","9719450","29.60","29.85","29.45","29.50","0.4000","224"
"6213","聯茂","1346000","113490900","83.50","85.00","83.20","84.50","2.3000","961"
"6214","精誠","180000","13172600","72.80","73.50","72.70","72.70","0.1000","147"
"6215","和椿","447000","10838400","23.90","24.40","23.90","24.40","0.6500","265"
"6216","居易","1017000","32625350","32.10","32.45","31.80","31.80","0.2500","668"
"6224","聚鼎","213000","15354500","70.20","73.00","70.20","72.50","2.7000","161"
"6225","天瀚","36000","341770","9.68","9.68","9.40","9.41","-0.3300","20"
"6226","光鼎","2215000","26705850","12.10","12.20","11.95","12.10","0.2500","995"
"6230","尼得科超眾","37000","4133000","112.00","113.50","109.50","111.50","2.5000","35"
"6235","華孚","67995000","3128355050","43.80","47.50","43.45","47.50","4.3000","30641"
"6239","力成","1762000","167689400","95.00","95.50","94.70","95.30","1.5000","1360"
"6243","迅杰","220000","8847450","40.00","40.75","39.60","40.55","1.7500","167"
"6251","定穎","2820000","69059000","24.50","24.65","24.35","24.50","0.3500","1256"
"6257","矽格","2963000","166215100","55.60","56.60","55.30","56.10","1.1000","1548"
"6269","台郡","661000","59592300","90.10","90.70","89.60","90.30","1.1000","488"
"6271","同欣電","1996000","436174500","216.00","221.50","213.50","218.00","7.0000","1285"
"6277","宏正","35000","2743600","78.20","78.50","78.10","78.20","-0.1000","31"
"6278","台表科","1721000","173492000","100.00","102.00","100.00","101.50","2.4000","923"
"6281","全國電","76000","6666900","87.40","88.50","87.00","87.60","0.6000","54"
"6282","康舒","4967000","148358800","30.15","30.20","29.65","29.80","0.0000","2444"
"6283","淳安","267000","8622500","31.60","32.55","31.50","32.40","1.6500","187"
"6285","啟碁","2472000","173387800","70.50","71.10","69.30","70.30","0.4000","1591"
"6288","聯嘉","284000","6688100","23.40","23.70","23.40","23.40","0.3000","173"
"6289","華上","64000","172060","2.55","2.78","2.55","2.78","0.1300","12"
"6405","悅城","65000","1423050","21.90","22.20","21.75","21.85","0.2500","43"
"6409","旭隼","115000","174545000","1490.00","1530.00","1490.00","1515.00","30.0000","110"
"6412","群電","261000","19170200","73.60","74.10","72.70","73.30","0.2000","190"
"6414","樺漢","1000000","211318000","206.00","214.50","206.00","212.00","9.0000","767"
"6415","矽力-KY","725000","1835740000","2465.00","2570.00","2465.00","2525.00","95.0000","682"
"6416","瑞祺電通","65000","5390200","81.20","83.50","81.20","82.80","1.8000","60"
"6426","統新","21000","1304600","60.80","62.80","60.80","62.40","1.8000","20"
"6431","光麗-KY","25000","669550","26.00","27.45","26.00","27.20","0.4500","17"
"6438","迅得","452000","40643600","87.40","91.70","87.40","90.30","3.8000","347"
"6442","光聖","11000","447650","41.10","41.10","40.55","40.80","0.2500","8"
"6443","元晶","35781000","1236400900","34.45","35.25","34.00","34.65","0.7500","17520"
"6449","鈺邦","13000","649850","50.10","50.10","49.90","50.00","0.3500","13"
"6451","訊芯-KY","203000","16225200","78.40","80.80","78.40","79.60","2.2000","146"
"6456","GIS-KY","541000","42966400","78.90","79.90","78.50","79.90","2.1000","428"
"6464","台數科","41000","3673400","89.10","90.00","89.10","89.40","1.4000","40"
"6477","安集","18054000","929729500","50.50","52.80","50.10","52.80","4.8000","9867"
"6491","晶碩","316000","136917500","427.50","439.00","425.00","439.00","11.5000","296"
"6504","南六","41000","3613700","88.10","88.40","87.50","88.40","0.5000","35"
"6505","台塑化","4186000","403366700","96.00","97.40","95.00","95.20","0.2000","2058"
"6515","穎崴","578000","228684500","385.00","401.00","385.00","396.00","20.0000","508"
"6525","捷敏-KY","319000","26113300","82.00","82.30","80.60","81.90","2.0000","242"
"6531","愛普*","3885000","902672500","226.00","237.50","225.50","232.50","11.5000","2983"
"6533","晶心科","1164000","320239000","274.00","279.50","269.00","277.00","11.5000","1043"
"6541","泰福-KY","3044000","210951000","70.30","70.70","68.20","69.10","-0.9000","1980"
"6550","北極星藥業-KY","2393000","263280000","110.00","113.00","107.00","109.50","1.0000","1537"
"6552","易華電","66000","2804350","42.05","42.75","42.05","42.60","0.8500","50"
"6558","興能高","79000","1781000","22.50","22.70","22.35","22.60","0.5500","62"
"6573","虹揚-KY","284000","4738900","15.80","16.80","15.80","16.80","1.5000","118"
"6579","研揚","55000","4359100","77.60","80.00","77.60","79.50","2.1000","51"
"6581","鋼聯","133000","11476300","85.40","86.70","85.40","86.30","1.2000","102"
"6582","申豐","92000","8587700","91.90","93.70","91.90","93.60","2.3000","78"
"6585","鼎基","124000","9726200","77.20","79.40","77.20","78.50","1.7000","105"
"6591","動力-KY","191000","11182300","57.90","58.90","57.90","58.80","1.9000","167"
"6592","和潤企業","350000","36423500","104.50","105.00","103.00","103.50","0.0000","259"
"6598","ABC-KY","685000","23000250","33.20","34.60","32.65","33.95","0.7500","458"
"6605","帝寶","3633000","275477200","76.00","77.50","74.50","75.70","0.9000","2403"
"6625","必應","4000","114150","28.60","28.60","28.35","28.60","0.3000","4"
"6641","基士德-KY","11000","681000","62.00","62.10","61.70","61.80","0.1000","7"
"6655","科定","29000","3965500","134.00","138.00","133.00","138.00","3.0000","26"
"6666","羅麗芬-KY","43000","2456400","58.40","58.40","56.70","57.60","0.9000","41"
"6668","中揚光","196000","8650200","44.00","44.65","43.30","44.25","1.5500","155"
"6669","緯穎","741000","577296000","768.00","793.00","765.00","765.00","13.0000","651"
"6670","復盛應用","148000","29504000","197.50","201.50","197.50","198.50","1.0000","127"
"6671","三能-KY","17000","794700","46.80","47.30","46.60","47.30","0.3000","11"
"6672","騰輝電子-KY","299000","22549100","74.70","76.10","74.00","75.90","3.3000","244"
"6674","鋐寶科技","23000","644750","28.10","28.15","27.90","28.05","-0.0500","17"
"6691","洋基工程","51000","8976500","176.00","177.50","175.50","177.50","2.0000","46"
"6698","旭暉應材","51000","1744400","34.20","34.35","34.05","34.20","0.7000","42"
"6706","惠特","514000","69998500","135.50","137.00","134.50","136.00","3.5000","393"
"6715","嘉基","1942000","280804500","145.00","148.00","140.50","143.00","-2.0000","1507"
"6719","力智","1850000","877488500","455.00","488.50","455.00","484.50","39.5000","1644"
"6743","安普新","189000","7631550","39.40","40.80","39.40","40.50","1.1000","123"
"6754","匯僑設計","46000","2077700","45.05","45.50","44.45","45.50","0.5500","38"
"6756","威鋒電子","1854000","535073000","284.00","294.00","284.00","285.00","7.5000","1603"
"6768","志強-KY","259000","19537100","75.10","76.00","74.20","75.10","1.7000","192"
"6770","力積電","17602000","778582700","43.90","44.80","43.55","44.25","1.2500","7877"
"6776","展碁國際","47000","1990050","42.25","42.65","42.05","42.55","0.3000","33"
"6781","AES-KY","944000","995545000","1020.00","1085.00","1005.00","1050.00","55.0000","854"
"6790","永豐實","179000","7599100","42.00","42.75","42.00","42.20","0.3000","120"
"6792","詠業","164000","15526800","94.70","95.90","93.60","94.60","-0.5000","121"
"6796","晉弘","262000","14411900","54.70","57.00","53.60","54.00","0.0000","205"
"6799","來頡","237000","38038000","156.50","163.50","156.50","158.50","3.5000","215"
"6806","森崴能源","2195000","210589700","96.70","97.80","94.50","95.80","0.2000","1565"
"6807","峰源-KY","28000","847300","30.10","30.50","30.05","30.50","0.4000","26"
"8011","台通","570000","8750050","15.20","15.55","15.10","15.30","0.3000","254"
"8016","矽創","965000","204281000","211.50","213.50","209.50","211.00","4.0000","730"
"8021","尖點","167000","5295950","31.50","31.90","31.45","31.65","0.6000","125"
"8028","昇陽半導體","18830000","1283056200","64.30","69.90","64.30","69.90","6.3000","10518"
"8033","雷虎","3521000","59826200","16.35","17.35","16.30","17.35","1.5000","1387"
"8039","台虹","162000","7327900","44.65","45.45","44.65","45.20","0.5500","103"
"8046","南電","6706000","2061329500","293.50","312.50","293.50","312.50","28.0000","3998"
"8070","長華*","1067000","36995500","34.75","34.85","34.30","34.75","1.0000","580"
"8072","陞泰","32000","775750","24.70","24.70","24.05","24.25","0.2500","28"
"8081","致新","784000","139684000","175.50","180.00","175.50","178.00","5.0000","520"
"8101","華冠","110000","263280","2.40","2.40","2.38","2.38","-0.0100","34"
"8103","瀚荃","252000","9721500","38.60","38.90","38.30","38.35","0.2000","184"
"8104","錸寶","1082000","45383550","40.90","42.65","40.90","42.00","2.0000","851"
"8105","凌巨","909000","9597350","10.50","10.65","10.50","10.55","0.2500","293"
"8110","華東","916000","12113100","13.10","13.30","13.05","13.25","0.4000","460"
"8112","至上","1818000","79985950","43.55","44.30","43.50","44.30","1.2000","1070"
"8112A","至上甲特","20000","819050","40.95","41.00","40.95","41.00","0.0500","16"
"8114","振樺電","1405000","165929000","116.50","119.50","116.00","118.50","5.0000","979"
"8131","福懋科","232000","9416300","40.50","40.85","40.45","40.70","0.4500","129"
"8150","南茂","4039000","186284500","46.10","46.30","45.95","46.15","0.5500","1742"
"8163","達方","645000","27458600","42.55","42.80","42.35","42.50","0.5000","407"
"8201","無敵","149000","1718450","11.60","11.60","11.40","11.60","0.2500","91"
"8210","勤誠","191000","12456400","64.20","65.70","64.20","65.30","1.2000","131"
"8213","志超","2132000","87000800","41.05","41.10","40.65","40.65","0.0000","1172"
"8215","明基材","1585000","52658500","32.95","33.40","32.85","33.35","0.8500","907"
"8222","寶一","2035000","42375350","20.80","21.15","20.15","20.90","0.3000","1105"
"8249","菱光","50000","1133500","22.55","22.75","22.55","22.55","0.0000","39"
"8261","富鼎","11576000","1403449500","120.00","123.50","118.00","122.00","2.0000","7197"
"8271","宇瞻","191000","7563650","39.50","39.90","39.15","39.65","0.9000","124"
"8341","日友","55000","11133500","201.00","203.00","200.50","203.00","3.5000","53"
"8367","建新國際","158000","6080200","36.60","39.00","36.60","38.80","2.6000","119"
"8374","羅昇","115000","3519300","30.45","30.85","30.25","30.45","0.2000","57"
"8404","百和興業-KY","254000","9249800","36.15","36.75","36.00","36.15","0.0500","149"
"8411","福貞-KY","58000","956550","16.50","16.55","16.40","16.55","0.1500","31"
"8422","可寧衛","154000","27007000","175.50","176.50","174.50","174.50","1.0000","133"
"8429","金麗-KY","202000","2059750","10.25","10.25","10.15","10.15","0.1800","100"
"8438","昶昕","17000","594150","34.45","35.15","34.45","35.00","0.5500","17"
"8442","威宏-KY","54000","3136900","58.30","58.40","57.50","58.10","0.7000","42"
"8443","阿瘦","23000","261300","11.35","11.40","11.25","11.35","0.0500","17"
"8454","富邦媒","400000","330011000","820.00","831.00","812.00","826.00","24.0000","372"
"8462","柏文","105000","14033000","133.00","135.00","132.00","133.50","2.0000","90"
"8463","潤泰材","178000","3874600","21.15","22.15","21.15","21.80","1.0000","129"
"8464","億豐","599000","194190000","327.50","327.50","321.00","324.00","0.0000","438"
"8466","美吉吉-KY","47000","2272900","48.20","49.45","48.10","48.10","-0.3500","32"
"8467","波力-KY","343000","21598600","63.90","64.50","60.70","63.80","1.3000","255"
"8473","山林水","75000","2290400","30.45","30.65","30.35","30.45","0.2500","51"
"8478","東哥遊艇","11878000","2401698500","202.50","207.00","196.00","197.50","-1.0000","8539"
"8480","泰昇-KY","1000","68600","68.60","68.60","68.60","68.60","-0.8000","1"
"8481","政伸","48000","3256700","68.10","68.10","67.50","67.90","0.0000","41"
"8482","商億-KY","130000","9746600","75.30","75.30","74.50","74.60","-0.4000","25"
"8488","吉源-KY","9000","151050","16.80","16.90","16.70","16.85","0.0500","8"
"8499","鼎炫-KY","33000","3931000","120.50","120.50","118.50","118.50","-1.0000","31"
"8926","台汽電","1615000","60598350","37.60","38.15","37.15","37.40","-0.5000","794"
"8940","新天地","722000","12237600","16.50","17.40","16.50","17.35","0.9000","380"
"8996","高力","2427000","168548300","71.40","71.80","68.00","68.30","-0.5000","1564"
"9103","美德醫療-DR","1017000","8278210","8.00","8.25","8.00","8.21","0.2400","439"
"910322","康師傅-DR","17000","424350","24.60","25.20","24.60","25.05","0.6000","14"
"9105","泰金寶-DR","2710000","10501840","3.86","3.89","3.85","3.89","0.0600","553"
"910861","神州-DR","54000","406380","7.42","7.76","7.42","7.49","-0.0600","22"
"9110","越南控-DR","231000","713760","3.11","3.12","3.06","3.12","0.0500","51"
"911608","明輝-DR","88000","251510","2.88","2.88","2.83","2.88","0.0100","42"
"911622","泰聚亨-DR","44000","244020","5.56","5.60","5.51","5.51","0.0000","21"
"911868","同方友友-DR","244000","275360","1.13","1.14","1.12","1.13","0.0000","45"
"912000","晨訊科-DR","460000","1040740","2.30","2.32","2.24","2.28","-0.0200","85"
"9136","巨騰-DR","894000","5572890","6.32","6.32","6.15","6.26","0.0000","165"
"9802","鈺齊-KY","2268000","407112000","176.50","182.00","176.00","180.00","4.5000","1313"
"9902","台火","38000","435000","11.35","11.55","11.35","11.50","0.1000","28"
"9904","寶成","5415000","168810800","30.90","31.35","30.90","31.20","0.4000","2076"
"9905","大華","71000","1849800","25.95","26.15","25.95","26.05","0.2000","57"
"9906","欣巴巴","65000","3511100","54.00","55.00","53.30","55.00","1.7000","51"
"9907","統一實","2576000","40578300","15.60","15.80","15.60","15.80","0.3000","902"
"9908","大台北","173000","5874500","33.90","34.10","33.60","33.80","-0.0500","115"
"9910","豐泰","718000","146039500","201.00","204.50","200.50","203.00","3.0000","533"
"9911","櫻花","167000","10244500","61.40","61.80","61.00","61.20","0.0000","149"
"9912","偉聯","45000","401850","9.05","9.05","8.90","9.00","0.0500","26"
"9914","美利達","1079000","301073000","280.00","282.00","275.00","276.50","2.0000","880"
"9917","中保科","231000","24196500","105.00","106.00","103.50","103.50","-1.5000","192"
"9918","欣天然","40000","1844450","45.45","47.00","45.40","46.25","1.2500","37"
"9919","康那香","1524000","28855950","18.80","19.15","18.60","18.85","0.2500","510"
"9921","巨大","1617000","421561000","257.00","263.50","257.00","260.00","5.0000","1213"
"9924","福興","124000","4843700","38.95","39.25","38.90","39.25","0.3000","85"
"9925","新保","147000","5896000","40.05","40.20","40.00","40.10","0.1500","107"
"9926","新海","49000","2632600","52.40","54.00","52.40","53.60","1.6000","47"
"9927","泰銘","255000","10848300","42.15","42.90","42.15","42.40","0.4000","168"
"9928","中視","1000","16400","16.40","16.40","16.40","16.40","0.2000","1"
"9929","秋雨","46000","384130","8.39","8.43","8.30","8.40","0.0200","21"
"9930","中聯資源","57000","2732150","48.10","48.15","47.60","47.90","0.1000","51"
"9931","欣高","14000","577300","41.00","41.45","41.00","41.15","0.1500","14"
"9933","中鼎","2933000","136921150","47.00","47.20","46.45","46.65","0.1000","1581"
"9934","成霖","124000","1505300","12.15","12.20","12.10","12.20","0.1500","70"
"9935","慶豐富","105000","1878200","17.85","17.95","17.80","17.90","0.2000","71"
"9937","全國","654000","32403350","49.85","49.85","49.45","49.85","0.3500","78"
"9938","百和","796000","56687100","72.00","72.00","70.20","71.70","1.2000","498"
"9939","宏全","962000","75356900","78.70","78.90","77.60","78.20","-0.3000","668"
"9940","信義","268000","8503000","31.75","31.95","31.40","31.55","-0.2000","184"
"9941","裕融","691000","149783000","219.00","219.00","215.50","216.00","0.0000","451"
"9941A","裕融甲特","8000","416100","52.00","52.10","52.00","52.10","0.0000","6"
"9942","茂順","58000","4890500","84.40","85.00","84.00","84.30","0.4000","44"
"9943","好樂迪","112000","6216000","55.60","55.80","55.10","55.50","0.5000","96"
"9944","新麗","91000","1766200","19.40","19.50","19.40","19.50","0.0000","42"
"9945","潤泰新","4136000","311445100","75.80","75.80","74.60","75.50","1.0000","2261"
"9946","三發地產","125000","1648750","13.10","13.30","13.05","13.15","0.2000","75"
"9955","佳龍","800000","16919500","20.80","21.45","20.75","21.10","1.0000","534"
"9958","世紀鋼","3276000","351367500","107.00","108.50","106.00","108.00","0.5000","1994"
